Schweiz;Zürich;Bern;Luzern;Uri;Schwyz;Obwalden;Nidwalden;Glarus;Zug;Freiburg;Solothurn;Basel-Stadt;Basel-Landschaft;Schaffhausen;Appenzell A.Rh.;Appenzell I.Rh.;St. Gallen;Graubünden;Aargau;Thurgau;Tessin;Waadt;Wallis;Neuenburg;Genf;Jura
57091.0;9591.0;8855.0;2352.0;272.0;884.0;231.0;207.0;435.0;438.0;1665.0;1956.0;2524.0;1497.0;719.0;664.0;166.0;3618.0;1477.0;3366.0;1900.0;2562.0;4829.0;1732.0;1701.0;2818.0;632.0
57856.0;9764.0;8846.0;2497.0;281.0;812.0;220.0;234.0;429.0;485.0;1642.0;2031.0;2579.0;1526.0;714.0;665.0;147.0;3727.0;1572.0;3463.0;1906.0;2436.0;4961.0;1732.0;1638.0;2898.0;651.0
56489.0;9594.0;8611.0;2404.0;253.0;799.0;225.0;199.0;434.0;496.0;1717.0;1900.0;2328.0;1583.0;683.0;653.0;142.0;3550.0;1446.0;3430.0;1850.0;2418.0;4944.0;1686.0;1697.0;2805.0;642.0
56990.0;9679.0;8505.0;2313.0;272.0;838.0;215.0;213.0;407.0;508.0;1629.0;1936.0;2494.0;1489.0;686.0;655.0;143.0;3631.0;1497.0;3492.0;1840.0;2514.0;4986.0;1781.0;1661.0;2927.0;679.0
56403.0;9466.0;8435.0;2307.0;252.0;809.0;212.0;193.0;392.0;532.0;1588.0;1933.0;2396.0;1481.0;734.0;630.0;134.0;3569.0;1510.0;3439.0;1810.0;2391.0;5031.0;1719.0;1775.0;2962.0;703.0
55924.0;9315.0;8550.0;2356.0;267.0;852.0;205.0;193.0;422.0;538.0;1608.0;1960.0;2432.0;1504.0;709.0;594.0;168.0;3411.0;1446.0;3504.0;1811.0;2388.0;4657.0;1751.0;1633.0;2981.0;669.0
57095.0;9701.0;8601.0;2411.0;282.0;878.0;214.0;214.0;432.0;450.0;1597.0;1989.0;2462.0;1531.0;700.0;617.0;140.0;3555.0;1503.0;3570.0;1814.0;2421.0;4960.0;1691.0;1743.0;2977.0;642.0
55658.0;9301.0;8479.0;2380.0;252.0;849.0;218.0;186.0;380.0;485.0;1609.0;1853.0;2462.0;1452.0;657.0;562.0;147.0;3501.0;1517.0;3398.0;1772.0;2281.0;4933.0;1719.0;1659.0;2966.0;640.0
57718.0;9735.0;8699.0;2509.0;275.0;951.0;268.0;209.0;429.0;506.0;1689.0;1971.0;2500.0;1608.0;694.0;547.0;129.0;3677.0;1565.0;3420.0;1826.0;2414.0;4919.0;1785.0;1709.0;2970.0;714.0
57454.0;9587.0;8643.0;2473.0;281.0;919.0;219.0;190.0;440.0;528.0;1653.0;1904.0;2446.0;1528.0;694.0;557.0;145.0;3645.0;1453.0;3575.0;1880.0;2441.0;5204.0;1693.0;1685.0;2991.0;680.0
59097.0;10075.0;8851.0;2569.0;259.0;899.0;238.0;225.0;441.0;509.0;1731.0;1925.0;2509.0;1657.0;706.0;601.0;155.0;3634.0;1508.0;3723.0;1950.0;2482.0;5073.0;1761.0;1702.0;3223.0;691.0
59763.0;10283.0;8757.0;2693.0;291.0;846.0;233.0;207.0;441.0;534.0;1667.0;2076.0;2595.0;1647.0;754.0;613.0;139.0;3720.0;1562.0;3791.0;1683.0;2672.0;5196.0;1825.0;1706.0;3145.0;687.0
59204.0;10341.0;8692.0;2676.0;252.0;835.0;222.0;228.0;440.0;519.0;1622.0;2039.0;2576.0;1574.0;719.0;588.0;140.0;3676.0;1581.0;3728.0;1767.0;2566.0;5196.0;1803.0;1605.0;3182.0;637.0
60756.0;10655.0;9158.0;2686.0;277.0;852.0;209.0;244.0;407.0;585.0;1710.0;1981.0;2707.0;1643.0;708.0;626.0;142.0;3838.0;1544.0;3744.0;1752.0;2498.0;5397.0;1817.0;1763.0;3112.0;701.0
58602.0;10228.0;8804.0;2503.0;302.0;808.0;200.0;198.0;424.0;508.0;1669.0;1949.0;2567.0;1666.0;717.0;544.0;152.0;3546.0;1522.0;3707.0;1700.0;2508.0;5131.0;1835.0;1657.0;3167.0;590.0
59583.0;10373.0;8992.0;2609.0;287.0;903.0;229.0;235.0;387.0;526.0;1698.0;2097.0;2540.0;1732.0;671.0;559.0;167.0;3447.0;1503.0;3780.0;1791.0;2457.0;5263.0;1893.0;1731.0;3138.0;575.0
60105.0;10647.0;9030.0;2697.0;313.0;872.0;246.0;221.0;369.0;579.0;1787.0;2086.0;2700.0;1729.0;679.0;542.0;143.0;3663.0;1485.0;3753.0;1706.0;2566.0;5191.0;1794.0;1671.0;3007.0;629.0
59511.0;10530.0;8730.0;2579.0;298.0;876.0;238.0;233.0;411.0;583.0;1743.0;2070.0;2531.0;1805.0;687.0;561.0;142.0;3589.0;1598.0;3827.0;1620.0;2477.0;5135.0;1862.0;1646.0;3102.0;638.0
60648.0;10564.0;8947.0;2784.0;289.0;863.0;249.0;218.0;427.0;576.0;1748.0;2092.0;2623.0;1834.0;673.0;540.0;159.0;3685.0;1567.0;3809.0;1858.0;2579.0;5332.0;1823.0;1590.0;3198.0;621.0
60882.0;10654.0;9148.0;2679.0;266.0;891.0;236.0;246.0;429.0;606.0;1795.0;2045.0;2618.0;1801.0;739.0;552.0;154.0;3598.0;1567.0;3895.0;1782.0;2578.0;5387.0;1851.0;1578.0;3124.0;663.0
63739.0;11087.0;9614.0;2834.0;293.0;915.0;261.0;226.0;408.0;610.0;1891.0;2174.0;2812.0;1965.0;778.0;586.0;152.0;3825.0;1634.0;3985.0;1892.0;2625.0;5543.0;2044.0;1710.0;3242.0;633.0
62634.0;10807.0;9468.0;2799.0;309.0;910.0;265.0;248.0;412.0;568.0;1853.0;2198.0;2636.0;1931.0;718.0;559.0;154.0;3763.0;1596.0;3954.0;1829.0;2635.0;5482.0;1962.0;1690.0;3244.0;644.0
62302.0;10677.0;9419.0;2789.0;289.0;937.0;252.0;267.0;382.0;578.0;1840.0;2079.0;2620.0;1892.0;750.0;565.0;139.0;3891.0;1599.0;3955.0;1839.0;2670.0;5502.0;1988.0;1636.0;3084.0;663.0
62512.0;10558.0;9423.0;2781.0;310.0;988.0;252.0;256.0;445.0;557.0;1779.0;2222.0;2554.0;1853.0;795.0;527.0;136.0;3774.0;1617.0;3996.0;1932.0;2674.0;5597.0;2038.0;1608.0;3136.0;704.0
61987.0;10675.0;9175.0;2796.0;293.0;919.0;278.0;234.0;412.0;563.0;1910.0;2267.0;2547.0;1845.0;750.0;542.0;134.0;3808.0;1569.0;3851.0;1746.0;2677.0;5329.0;2130.0;1662.0;3211.0;664.0
63387.0;10839.0;9521.0;2831.0;335.0;902.0;260.0;250.0;402.0;622.0;1896.0;2221.0;2610.0;1878.0;720.0;582.0;135.0;4000.0;1603.0;4080.0;1790.0;2694.0;5612.0;2086.0;1679.0;3172.0;667.0
62637.0;10804.0;9456.0;2841.0;310.0;850.0;248.0;265.0;407.0;626.0;1845.0;2136.0;2410.0;1888.0;776.0;553.0;126.0;3715.0;1598.0;4040.0;1889.0;2742.0;5553.0;2084.0;1629.0;3233.0;613.0
62839.0;10769.0;9288.0;2837.0;303.0;916.0;279.0;228.0;437.0;648.0;1892.0;2216.0;2549.0;1980.0;723.0;572.0;140.0;3896.0;1598.0;3909.0;1833.0;2804.0;5438.0;2137.0;1679.0;3158.0;610.0
62569.0;10556.0;9193.0;2739.0;312.0;935.0;278.0;265.0;402.0;653.0;1907.0;2165.0;2509.0;2039.0;764.0;500.0;149.0;3887.0;1640.0;3980.0;1807.0;2780.0;5449.0;2146.0;1664.0;3198.0;652.0
62503.0;10641.0;9329.0;2758.0;321.0;899.0;272.0;249.0;387.0;636.0;1888.0;2168.0;2442.0;2032.0;753.0;516.0;147.0;3826.0;1589.0;4110.0;1828.0;2726.0;5378.0;2188.0;1619.0;3089.0;712.0
62528.0;10726.0;9266.0;2782.0;278.0;988.0;260.0;240.0;364.0;700.0;1910.0;2187.0;2416.0;1981.0;760.0;503.0;146.0;3716.0;1598.0;4079.0;1871.0;2812.0;5398.0;2206.0;1638.0;3034.0;669.0
61228.0;10447.0;9011.0;2750.0;299.0;960.0;267.0;255.0;389.0;654.0;1846.0;2120.0;2318.0;1978.0;730.0;568.0;141.0;3696.0;1639.0;4010.0;1758.0;2769.0;5243.0;2190.0;1567.0;3001.0;622.0
61768.0;10402.0;9232.0;2714.0;306.0;939.0;253.0;254.0;382.0;672.0;1883.0;2205.0;2438.0;2011.0;730.0;485.0;138.0;3744.0;1632.0;3987.0;1762.0;2788.0;5252.0;2225.0;1620.0;3076.0;638.0
63070.0;10583.0;9233.0;2754.0;309.0;981.0;272.0;259.0;423.0;690.0;1934.0;2293.0;2413.0;2071.0;725.0;479.0;149.0;3862.0;1652.0;4087.0;1866.0;2923.0;5417.0;2254.0;1516.0;3230.0;695.0
60180.0;10096.0;8821.0;2776.0;291.0;1006.0;248.0;251.0;397.0;660.0;1918.0;2167.0;2155.0;1953.0;747.0;494.0;120.0;3671.0;1572.0;3897.0;1801.0;2708.0;5093.0;2260.0;1545.0;2919.0;614.0
61124.0;10240.0;8810.0;2821.0;287.0;953.0;276.0;256.0;413.0;688.0;1873.0;2206.0;2175.0;2122.0;661.0;479.0;114.0;3779.0;1632.0;4035.0;1786.0;2791.0;5142.0;2331.0;1562.0;3054.0;638.0
60283.0;9948.0;8830.0;2709.0;298.0;917.0;213.0;295.0;368.0;626.0;1856.0;2164.0;2157.0;1966.0;707.0;488.0;131.0;3573.0;1588.0;4031.0;1778.0;2765.0;5327.0;2320.0;1604.0;3012.0;612.0
61089.0;10128.0;8861.0;2779.0;316.0;921.0;295.0;251.0;364.0;645.0;1810.0;2200.0;1994.0;2082.0;778.0;481.0;134.0;3709.0;1685.0;4072.0;1835.0;2762.0;5321.0;2313.0;1619.0;3086.0;648.0
61233.0;10163.0;8777.0;2739.0;306.0;1048.0;275.0;293.0;393.0;666.0;1762.0;2186.0;2148.0;2115.0;710.0;499.0;139.0;3726.0;1631.0;4039.0;1942.0;2795.0;5242.0;2381.0;1585.0;3065.0;608.0
62476.0;10170.0;9025.0;2927.0;316.0;1039.0;255.0;294.0;393.0;662.0;1906.0;2231.0;2161.0;2256.0;722.0;455.0;126.0;3781.0;1701.0;4313.0;1817.0;2861.0;5309.0;2444.0;1534.0;3140.0;638.0
62649.0;10296.0;9035.0;2832.0;351.0;965.0;232.0;302.0;399.0;706.0;1893.0;2174.0;2157.0;2232.0;703.0;489.0;117.0;3764.0;1608.0;4330.0;1919.0;2971.0;5310.0;2451.0;1594.0;3128.0;691.0
62091.0;10280.0;8984.0;2764.0;318.0;1065.0;243.0;274.0;364.0;720.0;1973.0;2190.0;2052.0;2212.0;716.0;449.0;141.0;3665.0;1614.0;4379.0;1869.0;2897.0;5191.0;2517.0;1524.0;3045.0;645.0
64173.0;10500.0;9302.0;2928.0;312.0;1035.0;271.0;268.0;368.0;742.0;1875.0;2270.0;2097.0;2312.0;741.0;518.0;135.0;3937.0;1703.0;4497.0;1884.0;2998.0;5552.0;2481.0;1638.0;3151.0;658.0
64961.0;10792.0;9527.0;2879.0;341.0;1094.0;279.0;307.0;342.0;764.0;1965.0;2286.0;2049.0;2384.0;731.0;514.0;138.0;3728.0;1721.0;4557.0;1966.0;3057.0;5410.0;2629.0;1580.0;3322.0;599.0
63938.0;10521.0;9111.0;2900.0;320.0;1068.0;255.0;300.0;372.0;742.0;2009.0;2333.0;2138.0;2366.0;772.0;478.0;131.0;3805.0;1704.0;4510.0;1958.0;2924.0;5275.0;2501.0;1626.0;3159.0;660.0
67606.0;11156.0;9644.0;3137.0;367.0;1164.0;270.0;304.0;354.0;735.0;2049.0;2500.0;2146.0;2525.0;743.0;508.0;137.0;3945.0;1734.0;4871.0;1941.0;3294.0;5599.0;2726.0;1655.0;3405.0;697.0
64964.0;10716.0;9437.0;2844.0;348.0;1133.0;246.0;296.0;370.0;746.0;2022.0;2268.0;1988.0;2432.0;748.0;506.0;155.0;3845.0;1624.0;4761.0;1968.0;2988.0;5413.0;2612.0;1571.0;3220.0;707.0
66971.0;11076.0;9465.0;3077.0;359.0;1067.0;279.0;334.0;378.0;795.0;2061.0;2444.0;2123.0;2462.0;739.0;506.0;121.0;3886.0;1746.0;4711.0;1986.0;3230.0;5749.0;2759.0;1612.0;3342.0;664.0
67088.0;11062.0;9451.0;3140.0;324.0;1152.0;258.0;301.0;363.0;814.0;2058.0;2464.0;2077.0;2446.0;774.0;459.0;137.0;3880.0;1789.0;4780.0;2067.0;3152.0;5750.0;2724.0;1601.0;3385.0;680.0
67780.0;11305.0;9667.0;3104.0;307.0;1107.0;279.0;336.0;416.0;791.0;2099.0;2311.0;2063.0;2481.0;809.0;484.0;134.0;4047.0;1748.0;4997.0;2085.0;3238.0;5454.0;2898.0;1585.0;3369.0;666.0
76195.0;12078.0;10175.0;3346.0;327.0;1361.0;344.0;335.0;431.0;868.0;2556.0;2646.0;2138.0;2765.0;841.0;530.0;148.0;4767.0;1800.0;5517.0;2253.0;4067.0;6700.0;3276.0;1804.0;4279.0;843.0
